size,R selection,D selection,
10,3.1e-05,1.8e-05,
10,4e-06,4e-06,
10,3e-06,3.4e-05,
11,1.3e-05,6e-06,
12,5e-06,4e-06,
12,4e-06,4e-06,
13,3e-06,3e-06,
13,3e-06,3e-06,
14,4e-06,5e-06,
15,3e-06,4e-06,
15,4e-06,4e-06,
16,3e-06,5e-06,
17,4e-06,4e-06,
18,3e-06,5e-06,
19,3e-06,4e-06,
19,4e-06,5e-06,
20,7e-06,5e-06,
21,4e-06,1.1e-05,
22,5e-06,5e-06,
23,4e-06,4e-06,
25,5e-06,5e-06,
26,5e-06,6e-06,
27,4e-06,5e-06,
28,3e-06,5e-06,
30,4e-06,4e-06,
31,5e-06,5e-06,
33,1.3e-05,5e-06,
34,3e-06,7e-06,
36,4e-06,3e-06,
38,5e-06,7e-06,
39,4e-06,6e-06,
41,7e-06,1e-05,
43,3e-06,6e-06,
45,5e-06,8e-06,
47,2e-05,1e-05,
50,8e-06,7e-06,
52,1.2e-05,6e-06,
54,4e-06,7e-06,
57,5e-06,6e-06,
60,4e-06,6e-06,
63,6e-06,1.2e-05,
66,9e-06,6e-06,
69,5e-06,1.3e-05,
72,5e-06,7e-06,
75,5e-06,5e-06,
79,6e-06,7e-06,
83,5e-06,7e-06,
87,5e-06,6e-06,
91,5e-06,7e-06,
95,6e-06,6e-06,
100,3e-06,7e-06,
104,4e-06,8e-06,
109,8e-06,7e-06,
114,7e-06,1.2e-05,
120,5e-06,9e-06,
125,6e-06,2.3e-05,
131,5e-06,9e-06,
138,5e-06,9e-06,
144,7e-06,1e-05,
151,6e-06,1e-05,
158,4e-06,8e-06,
165,6e-06,1.8e-05,
173,6e-06,8e-06,
181,6e-06,1.7e-05,
190,6e-06,9e-06,
199,7e-06,1.6e-05,
208,5e-06,1e-05,
218,4e-06,1.1e-05,
229,5e-06,1.1e-05,
239,4e-06,1.6e-05,
251,6e-06,1.2e-05,
263,9e-06,1.5e-05,
275,5e-06,1.6e-05,
288,6e-06,1.1e-05,
301,1.4e-05,1.1e-05,
316,8e-06,1.3e-05,
331,8e-06,1.1e-05,
346,2e-05,4.3e-05,
363,7e-06,1.5e-05,
380,7e-06,1.3e-05,
398,6e-06,2e-05,
416,1.5e-05,2.3e-05,
436,7e-06,2.3e-05,
457,1.7e-05,1.5e-05,
478,6e-06,1.4e-05,
501,9e-06,2.6e-05,
524,1.9e-05,2.8e-05,
549,9e-06,1.9e-05,
575,1.6e-05,2e-05,
602,9e-06,1.8e-05,
630,1.7e-05,3.8e-05,
660,1.2e-05,2.5e-05,
691,8e-06,2.2e-05,
724,1e-05,3.4e-05,
758,8e-06,2.7e-05,
794,9e-06,2.3e-05,
831,1.7e-05,2.9e-05,
870,7e-06,2.3e-05,
912,1e-05,3.2e-05,
954,6e-06,2.3e-05,
