size,R selection,D selection,
10,2.1e-06,2.575e-06,
10,1.275e-06,1.775e-06,
10,1.75e-06,7.425e-06,
11,2.15e-06,1.825e-06,
12,2.375e-06,1.975e-06,
12,1.9e-06,1.95e-06,
13,2.375e-06,2.625e-06,
13,1.925e-06,2.2e-06,
14,2.575e-06,2.25e-06,
15,1.575e-06,2.375e-06,
15,2.15e-06,2.075e-06,
16,1.675e-06,3.15e-06,
17,3.725e-06,2.425e-06,
18,3.35e-06,3.675e-06,
19,2.075e-06,2.6e-06,
19,2.05e-06,3.5e-06,
20,2e-06,2.1e-06,
21,1.7e-06,2.1e-06,
22,2.075e-06,2.5e-06,
23,2.675e-06,3.025e-06,
25,3.35e-06,2.625e-06,
26,1.725e-06,3.75e-06,
27,3.35e-06,4.6e-06,
28,2.55e-06,3.55e-06,
30,3.975e-06,3.5e-06,
31,4.675e-06,3.225e-06,
33,2.8e-06,2.925e-06,
34,2.575e-06,3.35e-06,
36,4.425e-06,4.1e-06,
38,3.175e-06,4.4e-06,
39,4.15e-06,2.6e-06,
41,3.15e-06,3.05e-06,
43,2.25e-06,4.025e-06,
45,3.625e-06,3.5e-06,
47,2.675e-06,3.075e-06,
50,1.45e-06,4.125e-06,
52,2.275e-06,3.475e-06,
54,1.725e-06,3.475e-06,
57,3.025e-06,3e-06,
60,2.525e-06,5.65e-06,
63,2.85e-06,3.7e-06,
66,3.525e-06,7.625e-06,
69,4.925e-06,3.7e-06,
72,4.075e-06,3.575e-06,
75,2.325e-06,3.775e-06,
79,3.125e-06,3.55e-06,
83,3.375e-06,4.125e-06,
87,2.4e-06,3.325e-06,
91,1.775e-06,3.45e-06,
95,3.15e-06,5.4e-06,
100,3.325e-06,4.225e-06,
104,1.85e-06,4.575e-06,
109,3.8e-06,3.975e-06,
114,2.3e-06,5.725e-06,
120,7.025e-06,9.225e-06,
125,3.75e-06,4.075e-06,
131,2.725e-06,4.725e-06,
138,2.55e-06,4.525e-06,
144,4.075e-06,4.85e-06,
151,3.75e-06,6.375e-06,
158,3.8e-06,1.065e-05,
165,2.125e-06,5.75e-06,
173,3.675e-06,4.775e-06,
181,3.375e-06,5.1e-06,
190,3.425e-06,5.8e-06,
199,3.725e-06,5.375e-06,
208,4.75e-06,5.375e-06,
218,2.775e-06,5.45e-06,
229,4.925e-06,5.65e-06,
239,6.675e-06,5.075e-06,
251,3.35e-06,5.55e-06,
263,3.425e-06,5.525e-06,
275,5.125e-06,1.355e-05,
288,3.775e-06,6.275e-06,
301,3.325e-06,5.825e-06,
316,3.3e-06,1.0625e-05,
331,4.2e-06,6.475e-06,
346,5.125e-06,1.125e-05,
363,3.8e-06,6.725e-06,
380,3.7e-06,7.075e-06,
398,4.8e-06,7.15e-06,
416,9e-06,7.65e-06,
436,7.05e-06,1.19e-05,
457,4e-06,9.8e-06,
478,3.975e-06,7.9e-06,
501,3.875e-06,8.4e-06,
524,4.475e-06,7.4e-06,
549,5.175e-06,8.775e-06,
575,5.6e-06,9.625e-06,
602,4.425e-06,8.825e-06,
630,5.425e-06,1.1475e-05,
660,4.225e-06,1.1175e-05,
691,5.4e-06,1.05e-05,
724,7.575e-06,1.3825e-05,
758,8.225e-06,2.2875e-05,
794,5.225e-06,1.0675e-05,
831,4.825e-06,1.2025e-05,
870,5.2e-06,1.2725e-05,
912,6.8e-06,1.335e-05,
954,5.475e-06,1.335e-05,
